cluster_id cluster_description snomed_code snomed_code_description pcd_refset_id service_and_ruleset med_code_id observations original_read_code cleansed_read_code term snomed_ct_description_id release emis_code_category_id include comments category
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 398036000 "Familial hypercholesterolemia (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 1773186016 200000 C3200 C320000 "Familial hypercholesterolaemia" 1773186016 NA 32 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 299465007 "Familial multiple lipoprotein-type hyperlipidemia (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 5867281000006112 8 ^ESCTFA586728 NA "Familial multiple lipoprotein-type hyperlipidaemia" 440398014 NA 32 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 238040008 "Familial combined hyperlipidemia (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 5116291000006115 7 ^ESCTFR511629 NA "Fredrickson type IIb hyperlipoproteinaemia" 356807018 NA 32 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 398036000 "Familial hypercholesterolemia (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 6596691000006111 3 ^ESCTLD659669 NA "LDL - Low density lipoprotein receptor disorder" 1786060011 NA 32 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 767133009 "Familial hypercholesterolemia co-occurrent and due to combined heterozygous low density lipoprotein receptor and low density lipoprotein receptor adaptor protein 1 mutations (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 12052551000006114 3 ^ESCT1205255 NA "Double heterozygous familial hypercholesterolaemia" 3664437017 NA 32 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 773726000 "Hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 13526571000006112 2 ^ESCT1352657 NA "Hypercholesterolaemia due to cholesterol 7alpha-hydroxylase deficiency" 3726003017 NA 32 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 238040008 "Familial combined hyperlipidemia (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 5116271000006116 2 ^ESCTFA511627 NA "Familial hyperlipoproteinaemia type IIb" 356805014 NA 32 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 473145005 "Possible familial hypercholesterolemia (situation)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 7483481000006112 2 ^ESCTPO748348 NA "Possible familial hypercholesterolemia" 2956035019 NA 27 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 403831006 "Familial hypercholesterolemia due to genetic defect of apolipoprotein B (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 6687951000006119 1 ^ESCTFA668795 NA "Familial hypercholesterolemia due to genetic defect of apolipoprotein B" 1775045012 NA 32 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 238040008 "Familial combined hyperlipidemia (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 5116221000006117 1 ^ESCTFA511622 NA "Familial combined hyperlipidemia" 356799015 NA 32 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 238078005 "Familial hypercholesterolemia - homozygous (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 5116991000006110 1 ^ESCTFA511699 NA "Familial homozygous hypercholesterolaemia" 3037302012 NA 32 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 238081000 "Familial defective apolipoprotein B-100 (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 5117061000006118 1 ^ESCTFA511706 NA "Familial hypercholesterolaemia due to genetic defect of apolipoprotein B-100" 1736451000000119 NA 32 NA NA "Familial hypercholesterolaemia"
FHYP_COD "Familial hypercholesterolemia diagnostic codes" 398796005 "Familial type 3 hyperlipoproteinemia (disorder)" 999006811000230109 "NCD Tackling Health Inequalities | PLE GDPPR | QOF Diabetes | QOF Mental health" 6611941000006113 1 ^ESCTDY661194 NA Dysbetalipoproteinaemia 1783666010 NA 32 NA NA "Familial hypercholesterolaemia"
