prod_code_id dmdid term_from_emis product_name formulation route_of_administration drug_substance_name substance_strength bnf_chapter drug_issues
233841000033113 320036007 "Cerivastatin 200microgram tablets" "Cerivastatin 200microgram tablets" Tablet Oral "Cerivastatin sodium" 200.000microgram 2120000 100000
834841000033118 802411000001108 "Lipostat 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)" "Lipostat 10mg tablets" Tablet Oral "Pravastatin sodium" 10.000mg NA 100000
836441000033114 484211000001108 "Lipitor 40mg tablets (Viatris UK Healthcare Ltd)" "Lipitor 40mg tablets" Tablet Oral "Atorvastatin calcium trihydrate" 40.000mg NA 100000
2891841000033113 4171011000001104 "Crestor 10mg tablets (AstraZeneca UK Ltd)" "Crestor 10mg tablets" Tablet Oral "Rosuvastatin calcium" 10.000mg NA 100000
2973941000033116 4896211000001101 "Simvador 10mg tablets (Dexcel-Pharma Ltd)" "Simvador 10mg tablets" Tablet Oral Simvastatin 10.000mg NA 100000
3292441000033116 414177002 "Simvastatin 20mg / Ezetimibe 10mg tablets" "Simvastatin 20mg / Ezetimibe 10mg tablets" Tablet Oral "Ezetimibe/ Simvastatin" "10.000mg + 20.000mg" 2120000 100000
834941000033114 454111000001107 "Lipostat 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)" "Lipostat 20mg tablets" Tablet Oral "Pravastatin sodium" 20.000mg NA 90000
1916841000033114 320041004 "Cerivastatin 400microgram tablets" "Cerivastatin 400microgram tablets" Tablet Oral "Cerivastatin sodium" 400.000microgram 2120000 70000
233941000033117 320037003 "Cerivastatin 300microgram tablets" "Cerivastatin 300microgram tablets" Tablet Oral "Cerivastatin sodium" 300.000microgram 2120000 40000
836541000033110 535011000001102 "Lipostat 40mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)" "Lipostat 40mg tablets" Tablet Oral "Pravastatin sodium" 40.000mg NA 40000
1562241000033118 859611000001107 "Zocor 40mg tablets (Organon Pharma (UK) Ltd)" "Zocor 40mg tablets" Tablet Oral Simvastatin 40.000mg NA 40000
3292641000033119 414179004 "Simvastatin 80mg / Ezetimibe 10mg tablets" NA NA NA NA NA 2120000 40000
3836141000033113 9747511000001107 "Crestor 5mg tablets (AstraZeneca UK Ltd)" "Crestor 5mg tablets" Tablet Oral "Rosuvastatin calcium" 5.000mg NA 40000
6468841000033114 19722511000001105 "Atorvastatin 20mg chewable tablets sugar free" "Atorvastatin 20mg chewable tablets sugar free" "Chewable tablet" Oral "Atorvastatin calcium trihydrate" 20.000mg 2120000 40000
7861541000033111 20528611000001105 "Atorvastatin 60mg tablets" "Atorvastatin 60mg tablets" Tablet Oral "Atorvastatin calcium trihydrate" 60.000mg 2120000 40000
819941000033119 84811000001104 "Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd)" "Lescol 20mg capsules" Capsule Oral "Fluvastatin sodium" 20.000mg NA 30000
836641000033111 4535911000001106 "Lipobay 100microgram tablets (Bayer Plc)" "Lipobay 100microgram tablets" Tablet Oral "Cerivastatin sodium" 100.000microgram NA 30000
2261141000033113 756111000001109 "Lipitor 80mg tablets (Viatris UK Healthcare Ltd)" "Lipitor 80mg tablets" Tablet Oral "Atorvastatin calcium trihydrate" 80.000mg NA 30000
2891941000033117 4171311000001101 "Crestor 20mg tablets (AstraZeneca UK Ltd)" "Crestor 20mg tablets" Tablet Oral "Rosuvastatin calcium" 20.000mg NA 30000
820041000033116 409611000001108 "Lescol 40mg capsules (Novartis Pharmaceuticals UK Ltd)" "Lescol 40mg capsules" Capsule Oral "Fluvastatin sodium" 40.000mg NA 20000
3304141000033110 8722111000001104 "Simvastatin 20mg/5ml oral suspension" "Simvastatin 20mg/5ml oral suspension" "Oral suspension" Oral Simvastatin 4.000mg/1.000ml 2120000 20000
5817741000033114 17369311000001105 "Simvastatin 20mg/5ml oral suspension sugar free" "Simvastatin 20mg/5ml oral suspension sugar free" "Oral suspension" Oral Simvastatin 4.000mg/1.000ml 2120000 20000
5817841000033116 17429811000001102 "Simvastatin 40mg/5ml oral suspension sugar free" "Simvastatin 40mg/5ml oral suspension sugar free" "Oral suspension" Oral Simvastatin 8.000mg/1.000ml 2120000 20000
6468641000033113 19722411000001106 "Atorvastatin 10mg chewable tablets sugar free" "Atorvastatin 10mg chewable tablets sugar free" "Chewable tablet" Oral "Atorvastatin calcium trihydrate" 10.000mg 2120000 20000
7861441000033110 20528511000001106 "Atorvastatin 30mg tablets" "Atorvastatin 30mg tablets" Tablet Oral "Atorvastatin calcium trihydrate" 30.000mg 2120000 20000
3292741000033111 9309911000001100 "Inegy 10mg/20mg tablets (Organon Pharma (UK) Ltd)" "Inegy 10mg/20mg tablets" Tablet Oral "Ezetimibe/ Simvastatin" "10.000mg + 20.000mg" NA 10000
3292841000033118 9310311000001108 "Inegy 10mg/40mg tablets (Organon Pharma (UK) Ltd)" "Inegy 10mg/40mg tablets" Tablet Oral "Ezetimibe/ Simvastatin" "10.000mg + 40.000mg" NA 10000
836741000033119 4537511000001108 "Lipobay 200microgram tablets (Bayer Plc)" "Lipobay 200microgram tablets" Tablet Oral "Cerivastatin sodium" 200.000microgram NA 9000
2189141000033114 378111000001106 "Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd)" "Lescol XL 80mg tablets" "Modified-release tablet" Oral "Fluvastatin sodium" 80.000mg NA 9000
4152341000033115 13894411000001106 "Simvastatin 40mg/5ml oral suspension" "Simvastatin 40mg/5ml oral suspension" "Oral suspension" Oral Simvastatin 8.000mg/1.000ml 2120000 8000
2892041000033111 4172111000001108 "Crestor 40mg tablets (AstraZeneca UK Ltd)" "Crestor 40mg tablets" Tablet Oral "Rosuvastatin calcium" 40.000mg NA 5000
3868741000033118 14018311000001109 "Atorvastatin 20mg/5ml oral suspension" "Atorvastatin 20mg/5ml oral suspension" "Oral suspension" Oral "Atorvastatin calcium trihydrate" 4.000mg/1.000ml 2120000 5000
4941641000033116 15158611000001106 "Simvador 80mg tablets (Dexcel-Pharma Ltd)" "Simvador 80mg tablets" Tablet Oral Simvastatin 80.000mg NA 4000
836841000033112 4566311000001105 "Lipobay 300microgram tablets (Bayer Plc)" "Lipobay 300microgram tablets" Tablet Oral "Cerivastatin sodium" 300.000microgram NA 3000
2066341000033111 113211000001106 "Zocor 80mg tablets (Organon Pharma (UK) Ltd)" "Zocor 80mg tablets" Tablet Oral Simvastatin 80.000mg NA 3000
3292941000033114 9310611000001103 "Inegy 10mg/80mg tablets (Organon Pharma (UK) Ltd)" "Inegy 10mg/80mg tablets" Tablet Oral "Ezetimibe/ Simvastatin" "10.000mg + 80.000mg" NA 2000
6469041000033110 19719311000001104 "Lipitor 10mg chewable tablets (Viatris UK Healthcare Ltd)" "Lipitor 10mg chewable tablets" "Chewable tablet" Oral "Atorvastatin calcium trihydrate" 10.000mg NA 2000
6469141000033114 19719611000001109 "Lipitor 20mg chewable tablets (Viatris UK Healthcare Ltd)" "Lipitor 20mg chewable tablets" "Chewable tablet" Oral "Atorvastatin calcium trihydrate" 20.000mg NA 2000
13860741000033115 39832611000001106 "Rosuvastatin 5mg capsules" "Rosuvastatin 5mg capsules" Capsule Oral "Rosuvastatin calcium" 5.000mg 2120000 2000
13860841000033113 39832311000001101 "Rosuvastatin 10mg capsules" "Rosuvastatin 10mg capsules" Capsule Oral "Rosuvastatin calcium" 10.000mg 2120000 2000
13860941000033117 39832411000001108 "Rosuvastatin 20mg capsules" "Rosuvastatin 20mg capsules" Capsule Oral "Rosuvastatin calcium" 20.000mg 2120000 2000
1916741000033116 4538111000001103 "Lipobay 400microgram tablets (Bayer Plc)" "Lipobay 400microgram tablets" Tablet Oral "Cerivastatin sodium" 400.000microgram NA 1000
5897841000033117 14158611000001100 "Atorvastatin 10mg/5ml oral solution" "Atorvastatin 10mg/5ml oral solution" "Oral solution" Oral "Atorvastatin calcium trihydrate" 2.000mg/1.000ml 2120000 1000
5990541000033112 14018211000001101 "Atorvastatin 20mg/5ml oral solution" "Atorvastatin 20mg/5ml oral solution" "Oral solution" Oral "Atorvastatin calcium trihydrate" 4.000mg/1.000ml 2120000 1000
14021741000033118 40573211000001102 "Atorvastatin 20mg/5ml oral suspension sugar free" "Atorvastatin 20mg/5ml oral suspension sugar free" "Oral suspension" Oral "Atorvastatin calcium trihydrate" 4.000mg/1.000ml 2120000 1000
13861041000033110 39832511000001107 "Rosuvastatin 40mg capsules" "Rosuvastatin 40mg capsules" Capsule Oral "Rosuvastatin calcium" 40.000mg 2120000 600
14079441000033111 40917211000001108 "Rosuvastatin 15mg tablets" "Rosuvastatin 15mg tablets" Tablet Oral "Rosuvastatin calcium" 15.000mg 2120000 500
5711041000033117 15534511000001107 "Pravastatin 40mg/5ml oral suspension" "Pravastatin 40mg/5ml oral suspension" "Oral suspension" Oral "Pravastatin sodium" 8.000mg/1.000ml 2120000 300
5897741000033110 14158711000001109 "Atorvastatin 10mg/5ml oral suspension" "Atorvastatin 10mg/5ml oral suspension" "Oral suspension" Oral "Atorvastatin calcium trihydrate" 2.000mg/1.000ml 2120000 300
14079541000033112 40917311000001100 "Rosuvastatin 30mg tablets" "Rosuvastatin 30mg tablets" Tablet Oral "Rosuvastatin calcium" 30.000mg 2120000 300
11241741000033119 32234211000001101 "Fenofibrate 145mg / Simvastatin 20mg tablets" "Fenofibrate 145mg / Simvastatin 20mg tablets" Tablet Oral "Fenofibrate/ Simvastatin" "145.000mg + 20.000mg" 2120000 200
2290041000033115 134491009 "Cerivastatin 800microgram tablets" "Cerivastatin 800microgram tablets" Tablet Oral "Cerivastatin sodium" 800.000microgram 2120000 100
5888541000033119 13894311000001104 "Simvastatin 40mg/5ml oral solution" "Simvastatin 40mg/5ml oral solution" "Oral solution" Oral Simvastatin 8.000mg/1.000ml 2120000 100
11241841000033112 32234311000001109 "Fenofibrate 145mg / Simvastatin 40mg tablets" "Fenofibrate 145mg / Simvastatin 40mg tablets" Tablet Oral "Fenofibrate/ Simvastatin" "145.000mg + 40.000mg" 2120000 90
10618641000033118 14957811000001102 "Pravastatin 5mg/5ml oral suspension" "Pravastatin 5mg/5ml oral suspension" "Oral suspension" Oral "Pravastatin sodium" 1.000mg/1.000ml 2120000 70
5007141000033112 15364211000001102 "Luvinsta XL 80mg tablets (Actavis UK Ltd)" "Luvinsta XL 80mg tablets" "Modified-release tablet" Oral "Fluvastatin sodium" 80.000mg NA 40
3141041000033110 7632811000001108 "Ranzolont 40mg tablets (Ranbaxy (UK) Ltd)" "Ranzolont 40mg tablets" Tablet Oral Simvastatin 40.000mg NA 30
8493841000033111 14957711000001105 "Pravastatin 5mg/5ml oral solution" "Pravastatin 5mg/5ml oral solution" "Oral solution" Oral "Pravastatin sodium" 1.000mg/1.000ml 2120000 30
5711841000033112 17282011000001107 "Dorisin XL 80mg tablets (Aspire Pharma Ltd)" "Dorisin XL 80mg tablets" "Modified-release tablet" Oral "Fluvastatin sodium" 80.000mg NA 10
12486541000033113 35299511000001108 "Cholesterol 2% / Simvastatin 2% cream" "Cholesterol 2% / Simvastatin 2% cream" Cream "Route of administration not applicable" "Cholesterol/ Simvastatin" "20.000mg/1.000gram + 20.000mg/1.000gram" 13050200 10
3140941000033117 7631911000001109 "Ranzolont 20mg tablets (Ranbaxy (UK) Ltd)" "Ranzolont 20mg tablets" Tablet Oral Simvastatin 20.000mg NA 9
11241941000033116 32170911000001100 "Cholib 145mg/20mg tablets (Viatris UK Healthcare Ltd)" "Cholib 145mg/20mg tablets" Tablet Oral "Fenofibrate/ Simvastatin" "145.000mg + 20.000mg" NA 7
5888441000033115 13894211000001107 "Simvastatin 20mg/5ml oral solution" "Simvastatin 20mg/5ml oral solution" "Oral solution" Oral Simvastatin 4.000mg/1.000ml 2120000 5
3140841000033113 7630211000001106 "Ranzolont 10mg tablets (Ranbaxy (UK) Ltd)" "Ranzolont 10mg tablets" Tablet Oral Simvastatin 10.000mg NA 3
8962441000033117 23864311000001100 "Nandovar XL 80mg tablets (Sandoz Ltd)" "Nandovar XL 80mg tablets" "Modified-release tablet" Oral "Fluvastatin sodium" 80.000mg NA 2
2290141000033116 4568511000001103 "Lipobay 800microgram tablets (Bayer Plc)" "Lipobay 800microgram tablets" Tablet Oral "Cerivastatin sodium" 800.000microgram NA 1
2906741000033119 42209811000001105 "Ezetimibe 10mg tablets" "Ezetimibe 10mg tablets" Tablet Oral Ezetimibe 10.000mg 2120000 10000000
2906841000033112 4495611000001102 "Ezetrol 10mg tablets (Organon Pharma (UK) Ltd)" "Ezetrol 10mg tablets" Tablet Oral Ezetimibe 10.000mg NA 200000
3292541000033115 414178007 "Simvastatin 40mg / Ezetimibe 10mg tablets" "Simvastatin 40mg / Ezetimibe 10mg tablets" Tablet Oral "Ezetimibe/ Simvastatin" "10.000mg + 40.000mg" 2120000 200000
3292441000033116 414177002 "Simvastatin 20mg / Ezetimibe 10mg tablets" "Simvastatin 20mg / Ezetimibe 10mg tablets" Tablet Oral "Ezetimibe/ Simvastatin" "10.000mg + 20.000mg" 2120000 100000
3292641000033119 414179004 "Simvastatin 80mg / Ezetimibe 10mg tablets" NA NA NA NA NA 2120000 40000
3292741000033111 9309911000001100 "Inegy 10mg/20mg tablets (Organon Pharma (UK) Ltd)" "Inegy 10mg/20mg tablets" Tablet Oral "Ezetimibe/ Simvastatin" "10.000mg + 20.000mg" NA 10000
3292841000033118 9310311000001108 "Inegy 10mg/40mg tablets (Organon Pharma (UK) Ltd)" "Inegy 10mg/40mg tablets" Tablet Oral "Ezetimibe/ Simvastatin" "10.000mg + 40.000mg" NA 10000
13742241000033115 38931411000001105 "Bempedoic acid 180mg / Ezetimibe 10mg tablets" "Bempedoic acid 180mg / Ezetimibe 10mg tablets" Tablet Oral "Bempedoic acid/ Ezetimibe" "180.000mg + 10.000mg" 2120000 9000
13742341000033113 38755111000001109 "Nustendi 180mg/10mg tablets (Daiichi Sankyo UK Ltd)" "Nustendi 180mg/10mg tablets" Tablet Oral "Bempedoic acid/ Ezetimibe" "180.000mg + 10.000mg" NA 3000
3292941000033114 9310611000001103 "Inegy 10mg/80mg tablets (Organon Pharma (UK) Ltd)" "Inegy 10mg/80mg tablets" Tablet Oral "Ezetimibe/ Simvastatin" "10.000mg + 80.000mg" NA 2000
13742041000033111 38931511000001109 "Bempedoic acid 180mg tablets" "Bempedoic acid 180mg tablets" Tablet Oral "Bempedoic acid" 180.000mg 2120000 10000
13742241000033115 38931411000001105 "Bempedoic acid 180mg / Ezetimibe 10mg tablets" "Bempedoic acid 180mg / Ezetimibe 10mg tablets" Tablet Oral "Bempedoic acid/ Ezetimibe" "180.000mg + 10.000mg" 2120000 9000
13742341000033113 38755111000001109 "Nustendi 180mg/10mg tablets (Daiichi Sankyo UK Ltd)" "Nustendi 180mg/10mg tablets" Tablet Oral "Bempedoic acid/ Ezetimibe" "180.000mg + 10.000mg" NA 3000
13742141000033110 38754811000001103 "Nilemdo 180mg tablets (Daiichi Sankyo UK Ltd)" "Nilemdo 180mg tablets" Tablet Oral "Bempedoic acid" 180.000mg NA 500
10618041000033112 30738011000001103 "Evolocumab 140mg/1ml solution for injection pre-filled disposable devices" "Evolocumab 140mg/1ml solution for injection pre-filled disposable devices" "Solution for injection" Subcutaneous Evolocumab 140.000mg/1.000ml 2120000 1000
10647041000033115 30919311000001106 "Alirocumab 75mg/1ml solution for injection pre-filled disposable devices" "Alirocumab 75mg/1ml solution for injection pre-filled disposable devices" "Solution for injection" Subcutaneous Alirocumab 75.000mg/1.000ml 2120000 800
10618141000033111 30663811000001102 "Repatha SureClick 140mg/1ml solution for injection pre-filled pens (Amgen Ltd)" "Repatha SureClick 140mg/1ml solution for injection pre-filled pens" "Solution for injection" Subcutaneous Evolocumab 140.000mg/1.000ml NA 600
10647141000033116 30919211000001103 "Alirocumab 150mg/1ml solution for injection pre-filled disposable devices" "Alirocumab 150mg/1ml solution for injection pre-filled disposable devices" "Solution for injection" Subcutaneous Alirocumab 150.000mg/1.000ml 2120000 400
10647241000033111 30840811000001109 "Praluent 75mg/1ml solution for injection pre-filled pens (Sanofi)" "Praluent 75mg/1ml solution for injection pre-filled pens" "Solution for injection" Subcutaneous Alirocumab 75.000mg/1.000ml NA 300
10647341000033118 30841911000001106 "Praluent 150mg/1ml solution for injection pre-filled pens (Sanofi)" "Praluent 150mg/1ml solution for injection pre-filled pens" "Solution for injection" Subcutaneous Alirocumab 150.000mg/1.000ml NA 300
10617941000033114 30664511000001102 "Repatha 140mg/1ml solution for injection pre-filled syringes (Amgen Ltd)" "Repatha 140mg/1ml solution for injection pre-filled syringes" "Solution for injection" Subcutaneous Evolocumab 140.000mg/1.000ml NA 50
13806241000033113 39494711000001108 "Alirocumab 300mg/2ml solution for injection pre-filled disposable devices" "Alirocumab 300mg/2ml solution for injection pre-filled disposable devices" "Solution for injection" Subcutaneous Alirocumab 150.000mg/1.000ml 2120000 40
10617841000033118 30738111000001102 "Evolocumab 140mg/1ml solution for injection pre-filled syringes" "Evolocumab 140mg/1ml solution for injection pre-filled syringes" "Solution for injection" Subcutaneous Evolocumab 140.000mg/1.000ml 2120000 20
13806341000033115 39479611000001107 "Praluent 300mg/2ml solution for injection pre-filled pens (Sanofi)" "Praluent 300mg/2ml solution for injection pre-filled pens" "Solution for injection" Subcutaneous Alirocumab 150.000mg/1.000ml NA 20
13889441000033116 39495111000001106 "Inclisiran 284mg/1.5ml solution for injection pre-filled syringes" "Inclisiran 284mg/1.5ml solution for injection pre-filled syringes" "Solution for injection" Subcutaneous "Inclisiran sodium" 189.000mg/1.000ml 2120000 4000
13889541000033115 39494311000001109 "Leqvio 284mg/1.5ml solution for injection pre-filled syringes (Novartis Pharmaceuticals UK Ltd)" "Leqvio 284mg/1.5ml solution for injection pre-filled syringes" "Solution for injection" Subcutaneous "Inclisiran sodium" 189.000mg/1.000ml NA 100
